login do usuario avaliado;Quantidade de reações nas issues;Escala da quantidade de reações nas issues;Popularidade do repositório;Escala da popularidade do repositório;Percentual de issues fechadas da linguagem JavaScript;Escala do percentual de issues fechadas da linguagem JavaScript;Percentual de segudores da linguagem JavaScript;Escala do percentual de segudores da linguagem JavaScript;Percentual de repositórios na linguagem JavaScript;Escala do percentual de repositórios na linguagem JavaScript;Percentual de issues fechadas da linguagem C;Escala do percentual de issues fechadas da linguagem C;Percentual de segudores da linguagem C;Escala do percentual de segudores da linguagem C;Percentual de repositórios na linguagem C;Escala do percentual de repositórios na linguagem C;Percentual de issues fechadas da linguagem php;Escala do percentual de issues fechadas da linguagem php;Percentual de segudores da linguagem php;Escala do percentual de segudores da linguagem php;Percentual de repositórios na linguagem php;Escala do percentual de repositórios na linguagem php;Percentual de issues fechadas da linguagem C#;Escala do percentual de issues fechadas da linguagem C#;Percentual de segudores da linguagem C#;Escala do percentual de segudores da linguagem C#;Percentual de repositórios na linguagem C#;Escala do percentual de repositórios na linguagem C#;Percentual de issues fechadas da linguagem C++;Escala do percentual de issues fechadas da linguagem C++;Percentual de segudores da linguagem C++;Escala do percentual de segudores da linguagem C++;Percentual de repositórios na linguagem C++;Escala do percentual de repositórios na linguagem C++
wallacemaxters;1;2;1.00;2;0;0;0.51;3;0.57;3;0;0;0.10;1;0;0;0;0;0;0;0;0;0;0;0.06;1;0;0;0;0;0.06;1;0;0
isaiasdd;7;3;3.00;4;0.33;2;0.43;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.43;3;0;0;0;0;0;0;0;0
pablotdv;2;2;0.80;2;0.08;1;0.42;3;0.06;1;0;0;0;0;0;0;0;0;0;0;0;0;0.92;5;0.42;3;0.82;5;0;0;0;0;0;0
LeonardoBonetti;0;1;0.08;2;0;0;0.60;4;0.40;3;0;0;0;0;0.04;1;0;0;0;0;0;0;0;0;0;0;0.26;2;0;0;0;0;0;0
artptrapp;0;1;0.50;2;0;0;1.00;5;1.00;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
jlHertel;3;2;12.29;5;0;0;0.29;2;0;0;0;0;0.21;2;0;0;0;0;0;0;0;0;0;0;0.07;1;0;0;0.53;3;0.14;1;0.14;1
brumazzi;0;1;0.34;2;0;0;0.44;3;0.30;2;0;0;0.11;1;0.30;2;0;0;0;0;0;0;0;0;0;0;0.02;1;0;0;0.11;1;0.05;1
cegesser;0;1;0.83;2;0;0;1.00;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.83;5
darcamo;3;2;0.51;2;0;0;0.11;1;0.21;2;0;0;0;0;0.04;1;0;0;0;0;0;0;0;0;0;0;0;0;0.09;1;0.56;3;0.49;3
durvalcarvalho;0;1;0.43;2;0;0;0.68;4;0.13;1;0;0;0.14;1;0.04;1;0;0;0;0;0;0;0;0;0;0;0.02;1;0.14;1;0.14;1;0.13;1
