Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
CyC2018/CS-Notes;	https://github.com/CyC2018/CS-Notes;	Java;	355;	0;	368;	398;	2018-02-13T14:56:24Z;	2020-05-11T01:29:28Z;
Snailclimb/JavaGuide;	https://github.com/Snailclimb/JavaGuide;	Java;	264;	0;	356;	379;	2018-05-07T13:27:00Z;	2020-05-11T01:35:00Z;
iluwatar/java-design-patterns;	https://github.com/iluwatar/java-design-patterns;	Java;	451;	0;	379;	542;	2014-08-09T16:45:18Z;	2020-05-11T00:59:38Z;
MisterBooo/LeetCodeAnimation;	https://github.com/MisterBooo/LeetCodeAnimation;	Java;	41;	0;	32;	32;	2018-12-06T08:01:22Z;	2020-05-11T01:23:21Z;
elastic/elasticsearch;	https://github.com/elastic/elasticsearch;	Java;	26318;	22;	21218;	23663;	2010-02-08T13:20:56Z;	2020-05-11T01:24:26Z;
spring-projects/spring-boot;	https://github.com/spring-projects/spring-boot;	Java;	41;	56;	16630;	17066;	2012-10-19T15:02:57Z;	2020-05-11T01:35:43Z;
kdn251/interviews;	https://github.com/kdn251/interviews;	Java;	42;	0;	16;	43;	2017-02-14T18:19:25Z;	2020-05-11T01:09:01Z;
doocs/advanced-java;	https://github.com/doocs/advanced-java;	Java;	51;	0;	85;	95;	2018-10-06T11:38:30Z;	2020-05-11T01:08:15Z;
ReactiveX/RxJava;	https://github.com/ReactiveX/RxJava;	Java;	2857;	197;	2901;	2913;	2013-01-08T20:11:48Z;	2020-05-11T00:57:09Z;
google/guava;	https://github.com/google/guava;	Java;	205;	29;	2483;	3114;	2014-05-29T16:23:17Z;	2020-05-11T01:34:43Z;
square/okhttp;	https://github.com/square/okhttp;	Java;	2384;	0;	3000;	3064;	2012-07-23T13:42:55Z;	2020-05-10T22:42:06Z;
spring-projects/spring-framework;	https://github.com/spring-projects/spring-framework;	Java;	546;	175;	18581;	19451;	2010-12-08T04:04:45Z;	2020-05-11T00:58:36Z;
square/retrofit;	https://github.com/square/retrofit;	Java;	702;	27;	2275;	2364;	2010-09-06T21:39:43Z;	2020-05-10T22:30:46Z;
