Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
freeCodeCamp/freeCodeCamp;	https://github.com/freeCodeCamp/freeCodeCamp;	JavaScript;	12737;	0;	14204;	14398;	2014-12-24T17:49:19Z;	2020-05-11T01:37:22Z;
vuejs/vue;	https://github.com/vuejs/vue;	JavaScript;	961;	208;	8674;	8988;	2013-07-29T03:24:51Z;	2020-05-11T01:52:01Z;
twbs/bootstrap;	https://github.com/twbs/bootstrap;	JavaScript;	5720;	57;	18934;	19239;	2011-07-29T21:19:00Z;	2020-05-11T01:28:19Z;
airbnb/javascript;	https://github.com/airbnb/javascript;	JavaScript;	730;	0;	905;	984;	2012-11-01T23:13:50Z;	2020-05-11T01:42:26Z;
facebook/react-native;	https://github.com/facebook/react-native;	JavaScript;	613;	144;	18595;	19331;	2015-01-09T18:10:16Z;	2020-05-11T01:28:04Z;
axios/axios;	https://github.com/axios/axios;	JavaScript;	311;	22;	2044;	2280;	2014-08-18T22:30:27Z;	2020-05-11T00:14:21Z;
nodejs/node;	https://github.com/nodejs/node;	JavaScript;	2295;	160;	10603;	11579;	2014-11-26T19:57:11Z;	2020-05-11T01:57:31Z;
FortAwesome/Font-Awesome;	https://github.com/FortAwesome/Font-Awesome;	JavaScript;	176;	36;	10654;	15936;	2012-02-17T14:19:43Z;	2020-05-10T21:38:04Z;
mrdoob/three.js;	https://github.com/mrdoob/three.js;	JavaScript;	7040;	108;	9253;	9702;	2010-03-23T18:58:01Z;	2020-05-11T01:49:11Z;
30-seconds/30-seconds-of-code;	https://github.com/30-seconds/30-seconds-of-code;	JavaScript;	647;	4;	241;	241;	2017-11-29T17:35:03Z;	2020-05-11T01:37:07Z;
trekhleb/javascript-algorithms;	https://github.com/trekhleb/javascript-algorithms;	JavaScript;	142;	0;	83;	134;	2018-03-24T07:47:04Z;	2020-05-11T01:54:46Z;
FortAwesome/Font-Awesome;	https://github.com/FortAwesome/Font-Awesome;	JavaScript;	176;	36;	10654;	15936;	2012-02-17T14:19:43Z;	2020-05-10T21:38:04Z;
puppeteer/puppeteer;	https://github.com/puppeteer/puppeteer;	JavaScript;	1512;	41;	2945;	3930;	2017-05-09T22:16:13Z;	2020-05-11T01:23:10Z;
mrdoob/three.js;	https://github.com/mrdoob/three.js;	JavaScript;	7040;	108;	9253;	9702;	2010-03-23T18:58:01Z;	2020-05-11T01:49:11Z;
angular/angular.js;	https://github.com/angular/angular.js;	JavaScript;	770;	0;	8596;	8986;	2010-01-06T00:34:37Z;	2020-05-11T01:54:48Z;
mui-org/material-ui;	https://github.com/mui-org/material-ui;	JavaScript;	7901;	258;	10671;	11045;	2014-08-18T19:11:54Z;	2020-05-11T01:47:19Z;
30-seconds/30-seconds-of-code;	https://github.com/30-seconds/30-seconds-of-code;	JavaScript;	647;	4;	241;	241;	2017-11-29T17:35:03Z;	2020-05-11T01:37:07Z;
webpack/webpack;	https://github.com/webpack/webpack;	JavaScript;	2863;	218;	6728;	7091;	2012-03-10T10:08:14Z;	2020-05-11T01:51:43Z;
jquery/jquery;	https://github.com/jquery/jquery;	JavaScript;	465;	1;	1943;	2006;	2009-04-03T15:20:14Z;	2020-05-11T01:55:16Z;
atom/atom;	https://github.com/atom/atom;	JavaScript;	3560;	510;	15103;	15673;	2012-01-20T18:18:21Z;	2020-05-11T00:30:09Z;
adam-p/markdown-here;	https://github.com/adam-p/markdown-here;	JavaScript;	20;	11;	291;	543;	2012-05-13T03:27:22Z;	2020-05-11T02:00:01Z;
