Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
shadowsocks/shadowsocks-windows;	https://github.com/shadowsocks/shadowsocks-windows;	C#;	211;	46;	2444;	2491;	2013-01-14T07:54:16Z;	2020-05-11T01:50:15Z;
CodeHubApp/CodeHub;	https://github.com/CodeHubApp/CodeHub;	C#;	13;	4;	387;	605;	2013-07-23T22:19:57Z;	2020-05-11T00:02:04Z;
PowerShell/PowerShell;	https://github.com/PowerShell/PowerShell;	C#;	4119;	69;	5033;	7425;	2016-01-13T23:41:35Z;	2020-05-11T01:25:40Z;
dotnet/aspnetcore;	https://github.com/dotnet/aspnetcore;	C#;	4712;	79;	13192;	15502;	2014-03-11T06:09:42Z;	2020-05-11T00:58:35Z;
Wox-launcher/Wox;	https://github.com/Wox-launcher/Wox;	C#;	220;	30;	1635;	2556;	2013-12-19T15:49:32Z;	2020-05-11T01:30:17Z;
0xd4d/dnSpy;	https://github.com/0xd4d/dnSpy;	C#;	47;	1;	1227;	1360;	2015-07-01T16:05:10Z;	2020-05-11T01:48:43Z;
mxgmn/WaveFunctionCollapse;	https://github.com/mxgmn/WaveFunctionCollapse;	C#;	17;	0;	33;	36;	2016-09-30T11:53:17Z;	2020-05-10T22:10:38Z;
dotnet-architecture/eShopOnContainers;	https://github.com/dotnet-architecture/eShopOnContainers;	C#;	285;	7;	796;	846;	2016-10-05T22:35:23Z;	2020-05-10T20:31:45Z;
dotnet/roslyn;	https://github.com/dotnet/roslyn;	C#;	18454;	40;	14893;	21827;	2015-01-11T02:39:03Z;	2020-05-10T23:48:59Z;
ShareX/ShareX;	https://github.com/ShareX/ShareX;	C#;	577;	64;	3648;	3978;	2013-10-08T23:32:10Z;	2020-05-10T11:22:38Z;
StackExchange/Dapper;	https://github.com/StackExchange/Dapper;	C#;	259;	0;	629;	969;	2011-04-14T08:42:59Z;	2020-05-10T14:00:35Z;
thangchung/awesome-dotnet-core;	https://github.com/thangchung/awesome-dotnet-core;	C#;	397;	0;	47;	57;	2016-03-17T03:52:09Z;	2020-05-11T01:45:39Z;
NickeManarin/ScreenToGif;	https://github.com/NickeManarin/ScreenToGif;	C#;	97;	50;	391;	531;	2016-08-02T01:28:59Z;	2020-05-11T00:44:35Z;
2dust/v2rayN;	https://github.com/2dust/v2rayN;	C#;	28;	44;	603;	720;	2019-07-30T03:47:24Z;	2020-05-11T01:36:40Z;
icsharpcode/ILSpy;	https://github.com/icsharpcode/ILSpy;	C#;	263;	39;	1443;	1594;	2011-02-04T11:24:20Z;	2020-05-11T00:25:48Z;
dotnet/efcore;	https://github.com/dotnet/efcore;	C#;	5996;	67;	12191;	13568;	2014-01-23T00:52:01Z;	2020-05-11T01:43:03Z;
MaterialDesignInXAML/MaterialDesignInXamlToolkit;	https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit;	C#;	572;	24;	857;	1125;	2015-02-07T23:30:48Z;	2020-05-10T19:34:34Z;
mono/mono;	https://github.com/mono/mono;	C#;	13060;	0;	2413;	4073;	2010-07-22T18:06:36Z;	2020-05-10T19:40:08Z;
AvaloniaUI/Avalonia;	https://github.com/AvaloniaUI/Avalonia;	C#;	1471;	19;	1473;	2161;	2013-12-05T20:13:21Z;	2020-05-10T15:29:44Z;
aspnetboilerplate/aspnetboilerplate;	https://github.com/aspnetboilerplate/aspnetboilerplate;	C#;	776;	201;	4363;	4533;	2013-08-18T20:45:08Z;	2020-05-11T01:17:19Z;
SignalR/SignalR;	https://github.com/SignalR/SignalR;	C#;	540;	30;	3408;	3470;	2011-07-22T03:52:19Z;	2020-05-10T19:15:53Z;
JamesNK/Newtonsoft.Json;	https://github.com/JamesNK/Newtonsoft.Json;	C#;	264;	62;	1366;	1781;	2012-02-18T07:30:28Z;	2020-05-10T15:47:00Z;
GoogleCloudPlatform/microservices-demo;	https://github.com/GoogleCloudPlatform/microservices-demo;	C#;	140;	0;	142;	148;	2018-08-03T18:32:18Z;	2020-05-10T23:02:15Z;
App-vNext/Polly;	https://github.com/App-vNext/Polly;	C#;	306;	25;	408;	422;	2013-05-05T04:40:04Z;	2020-05-10T23:28:37Z;
OpenRA/OpenRA;	https://github.com/OpenRA/OpenRA;	C#;	6639;	85;	6303;	7844;	2010-10-04T07:38:05Z;	2020-05-10T15:28:46Z;
dotnet/AspNetCore.Docs;	https://github.com/dotnet/AspNetCore.Docs;	C#;	8254;	31;	7939;	8436;	2014-12-19T17:38:02Z;	2020-05-11T01:51:21Z;
restsharp/RestSharp;	https://github.com/restsharp/RestSharp;	C#;	338;	19;	933;	957;	2009-11-16T02:01:45Z;	2020-05-10T19:04:12Z;
AutoMapper/AutoMapper;	https://github.com/AutoMapper/AutoMapper;	C#;	624;	34;	2477;	2483;	2010-02-06T15:17:58Z;	2020-05-11T01:06:59Z;
NancyFx/Nancy;	https://github.com/NancyFx/Nancy;	C#;	1297;	1;	1136;	1332;	2010-06-24T19:35:22Z;	2020-05-09T09:03:58Z;
cefsharp/CefSharp;	https://github.com/cefsharp/CefSharp;	C#;	522;	80;	2246;	2300;	2010-12-03T15:23:23Z;	2020-05-10T22:34:43Z;
dotnet/machinelearning;	https://github.com/dotnet/machinelearning;	C#;	2027;	21;	2176;	2605;	2018-05-03T16:20:42Z;	2020-05-10T20:46:12Z;
MahApps/MahApps.Metro;	https://github.com/MahApps/MahApps.Metro;	C#;	934;	32;	2448;	2527;	2011-10-16T04:16:10Z;	2020-05-10T17:54:23Z;
MonoGame/MonoGame;	https://github.com/MonoGame/MonoGame;	C#;	3125;	15;	2479;	3125;	2011-04-07T00:23:40Z;	2020-05-10T22:13:39Z;
Unity-Technologies/UnityCsReference;	https://github.com/Unity-Technologies/UnityCsReference;	C#;	0;	0;	0;	0;	2018-03-23T13:08:32Z;	2020-05-10T19:30:28Z;
felixse/FluentTerminal;	https://github.com/felixse/FluentTerminal;	C#;	237;	24;	350;	489;	2018-01-21T09:45:11Z;	2020-05-10T23:59:48Z;
chocolatey/choco;	https://github.com/chocolatey/choco;	C#;	61;	0;	1106;	1745;	2014-12-30T22:12:11Z;	2020-05-10T22:26:03Z;
dotnet/orleans;	https://github.com/dotnet/orleans;	C#;	3509;	93;	2175;	2684;	2014-12-19T14:32:50Z;	2020-05-10T19:52:41Z;
jellyfin/jellyfin;	https://github.com/jellyfin/jellyfin;	C#;	1016;	27;	1214;	1690;	2018-12-09T06:36:45Z;	2020-05-11T00:41:19Z;
IdentityServer/IdentityServer4;	https://github.com/IdentityServer/IdentityServer4;	C#;	581;	55;	3496;	3615;	2015-11-22T08:21:58Z;	2020-05-11T01:11:43Z;
JeffreySu/WeiXinMPSDK;	https://github.com/JeffreySu/WeiXinMPSDK;	C#;	1258;	41;	635;	735;	2013-01-11T13:52:44Z;	2020-05-10T23:46:46Z;
QL-Win/QuickLook;	https://github.com/QL-Win/QuickLook;	C#;	49;	36;	331;	587;	2017-04-12T14:57:38Z;	2020-05-11T00:31:35Z;
aspnet/Mvc;	https://github.com/aspnet/Mvc;	C#;	1673;	27;	5180;	5180;	2013-12-12T03:54:00Z;	2020-05-08T08:26:01Z;
HangfireIO/Hangfire;	https://github.com/HangfireIO/Hangfire;	C#;	233;	102;	797;	1255;	2013-08-06T09:43:04Z;	2020-05-11T01:12:33Z;
dotnet/csharplang;	https://github.com/dotnet/csharplang;	C#;	354;	0;	967;	2941;	2016-12-09T01:45:27Z;	2020-05-10T20:08:03Z;
reactiveui/ReactiveUI;	https://github.com/reactiveui/ReactiveUI;	C#;	1066;	137;	912;	1000;	2010-06-11T05:24:29Z;	2020-05-10T18:01:17Z;
microsoft/ailab;	https://github.com/microsoft/ailab;	C#;	42;	1;	16;	28;	2018-07-23T22:40:54Z;	2020-05-09T19:39:18Z;
bitwarden/server;	https://github.com/bitwarden/server;	C#;	85;	60;	457;	579;	2015-11-23T23:45:33Z;	2020-05-10T22:24:08Z;
Sonarr/Sonarr;	https://github.com/Sonarr/Sonarr;	C#;	387;	0;	2864;	3078;	2011-09-27T05:57:16Z;	2020-05-10T13:37:35Z;
FluentValidation/FluentValidation;	https://github.com/FluentValidation/FluentValidation;	C#;	194;	19;	1108;	1124;	2009-12-20T19:17:03Z;	2020-05-10T23:38:42Z;
dotnet/BenchmarkDotNet;	https://github.com/dotnet/BenchmarkDotNet;	C#;	405;	0;	833;	980;	2013-08-18T06:17:48Z;	2020-05-09T15:50:43Z;
JustArchiNET/ArchiSteamFarm;	https://github.com/JustArchiNET/ArchiSteamFarm;	C#;	771;	477;	949;	952;	2015-10-25T05:12:33Z;	2020-05-11T01:27:34Z;
microsoft/VFSForGit;	https://github.com/microsoft/VFSForGit;	C#;	717;	21;	453;	738;	2017-01-25T21:10:29Z;	2020-05-10T07:45:52Z;
duplicati/duplicati;	https://github.com/duplicati/duplicati;	C#;	779;	150;	2423;	3317;	2014-08-05T08:28:16Z;	2020-05-10T21:35:28Z;
ThreeMammals/Ocelot;	https://github.com/ThreeMammals/Ocelot;	C#;	389;	128;	454;	758;	2016-06-29T20:35:24Z;	2020-05-10T03:24:00Z;
dvf/blockchain;	https://github.com/dvf/blockchain;	C#;	20;	0;	59;	100;	2017-09-24T19:36:36Z;	2020-05-10T17:35:27Z;
mbdavid/LiteDB;	https://github.com/mbdavid/LiteDB;	C#;	169;	43;	1174;	1425;	2014-08-25T13:49:30Z;	2020-05-10T17:32:31Z;
gitextensions/gitextensions;	https://github.com/gitextensions/gitextensions;	C#;	2767;	40;	3971;	4829;	2008-12-06T09:18:59Z;	2020-05-10T22:19:10Z;
nopSolutions/nopCommerce;	https://github.com/nopSolutions/nopCommerce;	C#;	185;	32;	3892;	4227;	2014-04-09T05:47:50Z;	2020-05-11T01:40:03Z;
jbogard/MediatR;	https://github.com/jbogard/MediatR;	C#;	90;	11;	381;	388;	2014-03-03T15:01:22Z;	2020-05-11T01:02:20Z;
xupefei/Locale-Emulator;	https://github.com/xupefei/Locale-Emulator;	C#;	40;	35;	0;	0;	2013-03-17T13:51:51Z;	2020-05-10T12:35:29Z;
NLog/NLog;	https://github.com/NLog/NLog;	C#;	1436;	95;	2001;	2152;	2012-09-12T13:49:29Z;	2020-05-10T20:59:19Z;
ElectronNET/Electron.NET;	https://github.com/ElectronNET/Electron.NET;	C#;	65;	9;	295;	313;	2017-10-03T12:30:29Z;	2020-05-11T01:47:57Z;
hbons/SparkleShare;	https://github.com/hbons/SparkleShare;	C#;	198;	4;	1561;	1676;	2010-10-02T15:53:38Z;	2020-05-10T15:37:40Z;
dotnet/wpf;	https://github.com/dotnet/wpf;	C#;	1803;	20;	564;	1015;	2018-10-19T01:55:23Z;	2020-05-10T16:30:43Z;
xamarin/Xamarin.Forms;	https://github.com/xamarin/Xamarin.Forms;	C#;	3315;	185;	4108;	6392;	2016-03-18T15:52:03Z;	2020-05-11T01:35:59Z;
sschmid/Entitas-CSharp;	https://github.com/sschmid/Entitas-CSharp;	C#;	81;	108;	678;	827;	2014-03-18T16:36:44Z;	2020-05-09T22:56:46Z;
dotnet-architecture/eShopOnWeb;	https://github.com/dotnet-architecture/eShopOnWeb;	C#;	139;	0;	192;	199;	2017-02-28T02:39:37Z;	2020-05-10T17:52:18Z;
ardalis/CleanArchitecture;	https://github.com/ardalis/CleanArchitecture;	C#;	36;	0;	67;	75;	2016-09-30T14:19:20Z;	2020-05-10T19:45:28Z;
dotnet/reactive;	https://github.com/dotnet/reactive;	C#;	577;	34;	447;	480;	2013-09-03T22:33:51Z;	2020-05-10T03:40:04Z;
Jackett/Jackett;	https://github.com/Jackett/Jackett;	C#;	1471;	1082;	6689;	6956;	2015-10-29T16:23:19Z;	2020-05-11T00:47:09Z;
sschmid/Entitas-CSharp;	https://github.com/sschmid/Entitas-CSharp;	C#;	81;	108;	678;	827;	2014-03-18T16:36:44Z;	2020-05-09T22:56:46Z;
dotnet-architecture/eShopOnWeb;	https://github.com/dotnet-architecture/eShopOnWeb;	C#;	139;	0;	192;	199;	2017-02-28T02:39:37Z;	2020-05-10T17:52:18Z;
ardalis/CleanArchitecture;	https://github.com/ardalis/CleanArchitecture;	C#;	36;	0;	67;	75;	2016-09-30T14:19:20Z;	2020-05-10T19:45:28Z;
dotnet/reactive;	https://github.com/dotnet/reactive;	C#;	577;	34;	447;	480;	2013-09-03T22:33:51Z;	2020-05-10T03:40:04Z;
Jackett/Jackett;	https://github.com/Jackett/Jackett;	C#;	1471;	1082;	6689;	6956;	2015-10-29T16:23:19Z;	2020-05-11T00:47:09Z;
shadowsocksr-backup/shadowsocksr-csharp;	https://github.com/shadowsocksr-backup/shadowsocksr-csharp;	C#;	0;	1;	3;	9;	2017-07-27T14:46:22Z;	2020-05-10T01:41:28Z;
Redth/PushSharp;	https://github.com/Redth/PushSharp;	C#;	52;	4;	582;	747;	2012-06-08T17:52:47Z;	2020-05-10T03:04:42Z;
