login do usuario avaliado;Quantidade de reações nas issues;Popularidade do repositório;Média de watchers
wkentaro;19.82;1.58
wuhaoyu1990;2435.50;111.00
daliansky;149.86;10.32
rui314;280.73;16.15;0
scrooloose;509.47;13.43;0
edvin;86.20;6.80;0
spring-media;0;0;0
konvajs;0;0;0
rexxars;4.01;1.01;0
doyoe;257.42;26.17;0
oscarknagg;86.75;4.00;0
supersheep;5.58;1.51;0
nacos-group;0;0;0
roc-project;0;0;0
tirthajyoti;94.57;8.33;0
jekyll;0;0;0
aozhimin;36.70;2.36;0
wemake-services;0;0;0
ehrishirajsharma;163.50;12.00;0
tanglang96;32.40;1.24;0
martinwells;56.80;9.90;0
vuejs;0;0;0
fuzheng0301;48.78;2.94;0
fishwjy;208.33;7.89;0
kvalle;9.67;1.77;0
CppKorea;0;0;0
squeryl;0;0;0
alexjlockwood;210.13;6.20;0
QuiteRSS;0;0;0
im-js;0;0;0
georgd;27.00;3.81;0
gcr;11.37;2.29;0
boy-hack;115.27;5.22;0
feichtenhofer;160.60;18.00;0
onnx;0;0;0
PrimaryFeather;36.00;5.00;0
dcoker;195.79;7.86;0
engintron;0;0;0
mansimov;62.88;4.75;0
wireghoul;44.02;3.83;0
guyht;58.03;3.29;0
rwynn;35.67;3.00;0
iwannabetop;0;0;0
pukhalski;58.20;3.40;0
ebryn;15.80;3.90;0
JamieMason;577.24;23.31;0
adafruit;0;0;0
everettjf;69.18;3.61;0
renkun-ken;11.15;1.84;0
benas;327.33;24.53;0
ushahidi;0;0;0
DSheirer;116.40;22.20;0
nitinhayaran;24.59;2.59;0
zasdfgbnm;12.87;1.43;0
jasmine;0;0;0
hellock;219.67;11.50;0
myinnos;38.58;2.15;0
jadell;25.56;3.04;0
rustwasm;0;0;0
Edgarware;137.00;12.00;0
aacebedo;27.17;2.17;0
henryr;32.97;3.16;0
giltene;138.75;7.92;0
scf4;14.86;1.02;0
EddieLa;271.00;30.00;0
projectacrn;0;0;0
pauldowman;34.66;1.66;0
gamaral;45.53;6.00;0
cbovis;53.67;5.17;0
electricsquare;0;0;0
Nition;176.75;18.75;0
dozoisch;64.20;2.30;0
denysdovhan;358.99;8.93;0
abiaad;101.57;4.43;0
Bashfuscator;0;0;0
mna;21.63;1.90;0
aikoven;1461.98;33.11;0
agragregra;213.00;45.00;0
armcha;153.19;5.00;0
rbgirshick;714.18;46.55;0
oblador;447.78;7.92;0
rezasp;143.36;12.91;0
gemrb;0;0;0
digitalocean;0;0;0
rgleichman;17.41;2.14;0
daft-dev;0;0;0
ElmCast;0;0;0
srigalibe;142.75;8.75;0
murarth;42.78;2.10;0
careermonk;157.44;27.67;0
GPUOpen-Archive;0;0;0
badoualy;266.42;8.75;0
andyholmes;84.95;4.58;0
ahangchen;6.38;1.21;0
osm-search;0;0;0
prometheus;0;0;0
ZHENFENG13;342.26;18.06;0
MatejKustec;238.83;6.83;0
coduo;0;0;0
dulwich;0;0;0
stripe;0;0;0
scotty-web;0;0;0
Homebrew;0;0;0
webpack-contrib;0;0;0
Tencent;0;0;0
dotnet;0;0;0
circus-tent;0;0;0
mobxjs;0;0;0
embulk;0;0;0
l-lin;45.47;3.59;0
zurb;0;0;0
cleanbrowsing;716.00;31.00;0
clowwindy;118.49;11.74;0
Komodo;0;0;0
VeerHan;3.41;1.02;0
jhen0409;80.93;2.09;0
luke8086;36.71;1.57;0
thebigmunch;29.31;2.62;0
inolen;623.21;23.61;0
explosion;0;0;0
tsasioglu;18.00;2.86;0
uoip;83.56;4.44;0
Akryum;75.11;3.77;0
eerimoq;24.73;3.03;0
AriaLyy;139.07;4.48;0
hashcat;0;0;0
oscarpilote;242.00;48.00;0
vlad-ignatov;12.31;3.38;0
zoom;0;0;0
puikinsh;1601.33;107.30;0
etianen;180.12;9.24;0
brad-sp;73.75;20.50;0
WorldDownTown;74.87;2.21;0
piotrwitek;292.66;5.96;0
stuartsierra;54.40;2.46;0
Icinga;0;0;0
sbebo;5.11;1.24;0
react-component;0;0;0
jziolkowski;61.00;6.50;0
daimajia;681.12;32.28;0
Ignitetechnologies;188.80;15.30;0
OkunaOrg;0;0;0
angelozerr;8.20;2.02;0
coregear;6.05;1.86;0
LynnHo;84.39;5.11;0
travs;11.22;2.29;0
WenmuZhou;27.73;2.49;0
adafruit;0;0;0
stephanmax;7.82;1.37;0
ui-storybook;0;0;0
tagspace;30.25;1.25;0
jhen0409;80.93;2.09;0
ActionKit;0;0;0
extensibleweb;0;0;0
teacat;0;0;0
radcortez;5.21;1.60;0
hemin1003;3.03;1.04;0
kapetan;16.55;2.05;0
bgshih;154.35;9.12;0
nohana;0;0;0
openimaj;0;0;0
netguru;0;0;0
fossasia;0;0;0
structurizr;0;0;0
Jaguar-dart;0;0;0
ionic-team;0;0;0
yuudi;34.86;1.57;0
mesosphere;0;0;0
osnr;51.27;4.54;0
palkan;70.26;3.10;0
dave;29.86;2.01;0
