Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
golang/go;	https://github.com/golang/go;	Go;	0;	0;	32045;	37682;	2014-08-19T04:33:40Z;	2020-05-11T01:53:23Z;
kubernetes/kubernetes;	https://github.com/kubernetes/kubernetes;	Go;	42761;	388;	32644;	34654;	2014-06-06T22:56:04Z;	2020-05-11T01:02:42Z;
moby/moby;	https://github.com/moby/moby;	Go;	16241;	81;	16567;	20170;	2013-01-18T18:10:57Z;	2020-05-11T01:45:44Z;
avelino/awesome-go;	https://github.com/avelino/awesome-go;	Go;	2086;	0;	211;	218;	2014-07-06T13:42:15Z;	2020-05-11T00:31:45Z;
gohugoio/hugo;	https://github.com/gohugoio/hugo;	Go;	1085;	126;	4125;	4602;	2013-07-04T15:26:26Z;	2020-05-11T01:54:53Z;
gin-gonic/gin;	https://github.com/gin-gonic/gin;	Go;	624;	13;	1162;	1375;	2014-06-16T23:57:25Z;	2020-05-11T01:46:17Z;
fatedier/frp;	https://github.com/fatedier/frp;	Go;	246;	54;	1379;	1429;	2015-12-21T15:24:59Z;	2020-05-11T01:24:40Z;
astaxie/build-web-application-with-golang;	https://github.com/astaxie/build-web-application-with-golang;	Go;	727;	0;	170;	277;	2012-08-02T11:49:35Z;	2020-05-11T01:25:12Z;
gogs/gogs;	https://github.com/gogs/gogs;	Go;	1067;	56;	3879;	4540;	2014-02-12T01:57:08Z;	2020-05-11T00:38:22Z;
v2ray/v2ray-core;	https://github.com/v2ray/v2ray-core;	Go;	175;	236;	1904;	2115;	2015-09-04T11:42:53Z;	2020-05-11T01:38:31Z;
syncthing/syncthing;	https://github.com/syncthing/syncthing;	Go;	1431;	200;	3795;	4057;	2013-11-26T09:48:21Z;	2020-05-11T00:54:54Z;
etcd-io/etcd;	https://github.com/etcd-io/etcd;	Go;	5836;	179;	4649;	4846;	2013-07-06T21:57:21Z;	2020-05-11T01:30:01Z;
prometheus/prometheus;	https://github.com/prometheus/prometheus;	Go;	2998;	144;	3048;	3326;	2012-11-24T11:14:12Z;	2020-05-11T01:36:36Z;
junegunn/fzf;	https://github.com/junegunn/fzf;	Go;	230;	0;	1430;	1587;	2013-10-23T16:04:23Z;	2020-05-11T01:46:20Z;
containous/traefik;	https://github.com/containous/traefik;	Go;	2620;	291;	3216;	3705;	2015-09-13T19:04:02Z;	2020-05-11T01:44:44Z;
caddyserver/caddy;	https://github.com/caddyserver/caddy;	Go;	956;	70;	2051;	2126;	2015-01-13T19:45:03Z;	2020-05-11T01:43:28Z;
ethereum/go-ethereum;	https://github.com/ethereum/go-ethereum;	Go;	3801;	126;	4569;	4832;	2013-12-26T13:05:46Z;	2020-05-11T01:29:22Z;
FiloSottile/mkcert;	https://github.com/FiloSottile/mkcert;	Go;	42;	11;	133;	170;	2018-06-25T05:33:03Z;	2020-05-10T21:32:43Z;
astaxie/beego;	https://github.com/astaxie/beego;	Go;	753;	5;	1909;	2699;	2012-02-29T02:32:08Z;	2020-05-11T01:52:11Z;
