Id do usuario;Média de popularidade do repositório;Média de watchers
a;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
;14.05;0.78
