Id do usuario;Score médio das perguntas;Score médio das respostas;Reputação 
11526;3,00;9,86;1093
12226;0,83;2,31;3074
748;1,75;4,03;11520
3099;7,59;3,34;1094
2001;1,75;5,87;2047
17091;4,52;2,04;31575
9249;1,51;3,29;4317
8458;3,43;28,74;16667
8552;0,00;0,00;1169
13757;2,10;0,84;14940
18635;3,51;1,06;955
570;0,00;0,00;11
6634;2,46;1,44;1077
4376;3,33;2,86;107390
11988;0,50;2,33;972
4725;9,99;12,74;137265
18951;0,00;1,57;483
12166;3,34;36,74;35687
1953;1,20;2,32;639
9686;4,39;2,10;12347
13630;5,44;59,67;813
4230;1,46;1,64;4592
2942;4,09;1,36;17496
12451;5,00;1,11;756
12674;1,50;2,03;166
12348;0,00;1,00;21
9129;1,50;20,97;506
14731;1,85;2,66;69439
5006;5,50;11,08;3216
3980;1,02;1,51;8086
4309;4,75;1,40;2770
13287;148,00;1,44;4119
4884;3,86;0,60;2647
4606;1,00;1,91;149
17424;4,04;3,16;3095
1708;4,09;7,79;1005
1950;2,49;13,25;95366
3284;5,61;6,25;7247
6065;3,06;1,40;903
10829;0,00;19,00;91
14281;1,38;1,93;748
7252;1,00;2,41;684
11650;8,00;0,00;351
10466;1,25;0,92;437
5827;1,07;3,27;4786
8250;0,00;-0,03;283
78;0,83;0,00;1217
134;21,00;9,50;711
9361;0,00;9,70;3812
13817;1,50;0,00;31
1263;9,00;2,45;2233
1343;0,88;0,16;62049
634;10,31;4,69;981
2751;0,00;1,50;56
953;2,25;9,94;2882
5004;2,24;7,00;12746
9955;7,50;0,00;413
17928;0,00;5,38;156
16668;4,01;0,56;9225
15875;0,75;0,81;436
13668;3,00;1,09;1326
491;0,00;1,75;245
4845;0,00;0,69;51
17055;5,25;3,36;1213
2128;3,80;0,45;35220
11715;0,00;5,50;1
13842;2,63;20,99;4961
11705;1,00;0,60;9319
6496;0,00;27,74;1484
826;2,04;1,35;11188
8388;0,50;3,94;9235
18619;1,82;0,81;6007
15908;4,48;0,35;4620
2038;2,26;1,02;9932
5200;45,50;1,03;1420
16470;50,00;0,00;1001
10049;1,00;9,06;333
16822;2,23;1,42;2333
10733;2,62;1,63;4469
9634;9,55;0,54;8200
2488;8,50;2,50;465
13410;0,00;12,00;341
5745;0,00;5,04;23413
855;1,50;1,37;493
12866;1,06;3,56;2951
16625;1,50;19,63;946
