repository,vulnerabilities,duplicated_lines,duplicated_blocks,reliability_rating,code_smells,bugs,tests
jwd-ali_SBAActionSheetPicker.git,0,0,0,1.0,0,0,0.0
shoaib-akhtar_SBAImagePickerController.git,0,0,0,1.0,0,0,0.0
jwd-ali_DateTimePicker.git,0,0,0,1.0,0,0,0.0
jwd-ali_SBAImagePickerController.git,0,0,0,1.0,0,0,0.0
jwd-ali_IOS-Portfolio.git,0,0,0,1.0,0,0,0.0
jwd-ali_ReadabilityKit.git,0,1341,3,1.0,12,0,0.0
jwd-ali_Smart-Lazy-Loading.git,0,0,0,1.0,0,0,0.0
jwd-ali_TidalTestProject.git,0,0,0,1.0,0,0,0.0
jwd-ali_MusicSearch-SwiftUI.git,0,0,0,1.0,0,0,0.0
jwd-ali_TidalAssignment.git,0,0,0,1.0,0,0,0.0
jwd-ali_CircularLabel.git,0,0,0,1.0,0,0,0.0
jwd-ali_Circular.git,0,0,0,1.0,0,0,0.0
jwd-ali_WHCollapsiblePieChart.git,0,0,0,1.0,0,0,0.0
jwd-ali_RingPieChart.git,0,0,0,1.0,0,0,0.0
jwd-ali_ProgressImageView.git,0,0,0,1.0,0,0,0.0
jwd-ali_GradientView.git,0,0,0,1.0,0,0,0.0
jwd-ali_SwiftStructures.git,0,0,0,1.0,0,0,0.0
jwd-ali_CircularAnimation.git,0,0,0,1.0,0,0,0.0
ankitkanojia_bidcontent_v1.git,0,282,12,1.0,1,0,0.0
